OrderNumber,OrderDateTime,SessionID,SessionDateTime,Channel
123,2023-07-23 17:00:00,ihg789,2023-07-12 17:00:00,OrganicSearch
123,2023-07-23 17:00:00,lkj123,2023-07-13 18:00:00,OrganicSearch
123,2023-07-23 17:00:00,onm654,2023-07-14 19:00:00,OrganicSearch
123,2023-07-23 17:00:00,rqp789,2023-07-15 20:00:00,Email
123,2023-07-23 17:00:00,uts123,2023-07-16 21:00:00,Email
123,2023-07-23 17:00:00,xwv456,2023-07-17 22:00:00,PaidSearch
123,2023-07-23 17:00:00,zzy789,2023-07-18 23:00:00,Direct
123,2023-07-23 17:00:00,cba321,2023-07-19 00:00:00,Social
123,2023-07-23 17:00:00,fed654,2023-07-20 01:00:00,OrganicSearch
123,2023-07-23 17:00:00,ghi987,2023-07-21 02:00:00,Email
123,2023-07-23 17:00:00,fed456,2023-07-22 03:00:00,PaidSearch
456,2023-07-24 16:00:00,abc123,2023-07-13 17:00:00,OrganicSearch
456,2023-07-24 16:00:00,def456,2023-07-14 18:00:00,Social
456,2023-07-24 16:00:00,ghi789,2023-07-16 19:00:00,OrganicSearch
456,2023-07-24 16:00:00,jkl123,2023-07-17 20:00:00,PaidSearch
456,2023-07-24 16:00:00,mno456,2023-07-18 21:00:00,Direct
456,2023-07-24 16:00:00,pqr789,2023-07-19 22:00:00,Direct
456,2023-07-24 16:00:00,stu123,2023-07-20 23:00:00,Social
456,2023-07-24 16:00:00,vwx456,2023-07-21 00:00:00,PaidSearch
456,2023-07-24 16:00:00,yzz789,2023-07-22 01:00:00,PaidSearch
456,2023-07-24 16:00:00,cba123,2023-07-23 02:00:00,Email
